id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height,source
567,9F4,,terrazzo,GRANULATIE MARE,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
568,9F3,,terrazzo,GRANULATIE MARE,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
569,2D6,,terrazzo,SPECIAL,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
570,2F3,,terrazzo,SPECIAL,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
571,2F6,,terrazzo,SPECIAL,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
572,2F5,,terrazzo,SPECIAL,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
573,2F4,,terrazzo,SPECIAL,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
574,8A3,,terrazzo,SPECIAL,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
575,13H3,,terrazzo,SPECIAL,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
576,14D6,,terrazzo,SPECIAL,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
577,15C5,,terrazzo,SPECIAL,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
578,15C6,,terrazzo,SPECIAL,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
579,15B6,,terrazzo,SPECIAL,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
580,1C4,,terrazzo,FARA GRANULATIE,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
581,2H5,,terrazzo,FARA GRANULATIE,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
582,2I6,,terrazzo,FARA GRANULATIE,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
583,3D5,,terrazzo,FARA GRANULATIE,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
584,12B2,,terrazzo,FARA GRANULATIE,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
585,12C6,,terrazzo,FARA GRANULATIE,Out of catalog,False,,Grandinetti,,"Opaque, Honed, Antique, Heavy Brushed (R10), Honed And Bevelled, Polished And Bevelled",,"10x10 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
586,48 Grigio,,terrazzo,FARA GRANULATIE,Pastine,False,,Grandinetti,,"Honed, Antique, Deep Heavy Brushed (R11), Opaque",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
587,54 Nero,,terrazzo,FARA GRANULATIE,Pastine,False,,Grandinetti,,"Honed, Antique, Deep Heavy Brushed (R11), Opaque",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
588,56 Ocra,,terrazzo,FARA GRANULATIE,Pastine,False,,Grandinetti,,"Honed, Antique, Deep Heavy Brushed (R11), Opaque",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
589,65 Marron,,terrazzo,FARA GRANULATIE,Pastine,False,,Grandinetti,,"Honed, Antique, Deep Heavy Brushed (R11), Opaque",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
590,A1 Cold Gray,,terrazzo,FARA GRANULATIE,Pastine,False,,Grandinetti,,"Honed, Natural",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
591,66 Verde Acido,,terrazzo,FARA GRANULATIE,Pastine,False,,Grandinetti,,"Honed, Antique, Deep Heavy Brushed (R11), Opaque",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
592,A2 Cloudy Blue,,terrazzo,FARA GRANULATIE,Pastine,False,,Grandinetti,,"Honed, Natural",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
593,A5 Aubergine,,terrazzo,FARA GRANULATIE,Pastine,False,,Grandinetti,,"Honed, Natural",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
594,A3 India Yellow,,terrazzo,FARA GRANULATIE,Anima,False,,Grandinetti,,"Honed, Natural",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
595,A6 Gray Smoke,,terrazzo,FARA GRANULATIE,Anima,False,,Grandinetti,,"Honed, Natural",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
596,A9 Sugar Paper,,terrazzo,FARA GRANULATIE,Anima,False,,Grandinetti,,"Honed, Natural",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
597,A10 White Rope,,terrazzo,FARA GRANULATIE,Anima,False,,Grandinetti,,"Honed, Natural",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
598,A12 Green Wood,,terrazzo,FARA GRANULATIE,Anima,False,,Grandinetti,,"Honed, Natural",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
599,A11 Olive Green,,terrazzo,FARA GRANULATIE,Anima,False,,Grandinetti,,"Honed, Natural",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
600,A16 White Milk,,terrazzo,FARA GRANULATIE,Anima,False,,Grandinetti,,"Honed, Natural",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
601,A17 Pitch Black,,terrazzo,FARA GRANULATIE,Anima,False,,Grandinetti,,"Honed, Natural",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
602,A20 Green Hill,,terrazzo,FARA GRANULATIE,Anima,False,,Grandinetti,,"Honed, Natural",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
603,A18 Emerald Green,,terrazzo,FARA GRANULATIE,Anima,False,,Grandinetti,,"Honed, Natural",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
604,A21 Red Clay,,terrazzo,FARA GRANULATIE,Anima,False,,Grandinetti,,"Honed, Natural",,"10x10 cm, 20x8 cm, 20x20 cm, 25x25 cm, 30x30 cm, 40x40 cm, 60x30 cm, 60x60 cm, 305x125 cm","1.2 cm, 1.3 cm, 2 cm, 3 cm",,,,,,,,grandinetti
605,Naturalizzato New,,parchet,CLASSIC,Eco-Light,False,,Milano Parquet,,Periat,,"125/150 mm, 1200 (80% ca.)",,Wood,,,,,,,milano
606,Naturale,,parchet,CLASSIC,CENTOCINQUANTA,False,,Milano Parquet,,Periat,,,,Stejar,,Placi,,,,,milano
607,Naturalizzato,,parchet,CLASSIC,CENTOCINQUANTA,False,,Milano Parquet,,Periat,,,,Wood,,,,,,,milano
608,Smoked,,parchet,CLASSIC,CENTOCINQUANTA,False,,Milano Parquet,,Periat,,,,Wood,,,,,,,milano
609,Grey,,parchet,CLASSIC,CENTOCINQUANTA,False,,Milano Parquet,,Periat,,,,Wood,,,,,,,milano
610,Naturale,,parchet,CLASSIC,Ecowood Plancia,False,,Milano Parquet,,Periat,,,,Stejar,,Placi,,,,,milano
611,Naturalizzato,,parchet,CLASSIC,Ecowood Plancia,False,,Milano Parquet,,Periat,,,,Wood,,,,,,,milano
612,Smoked,,parchet,CLASSIC,Ecowood Plancia,False,,Milano Parquet,,Periat,,,,Wood,,,,,,,milano
613,Noce Americano,,parchet,CLASSIC,Tavole del Nord,False,,Milano Parquet,,Periat,,,,Nuc american,,Placi,,,,,milano
614,Noce Europeo,,parchet,CLASSIC,Tavole del Nord,False,,Milano Parquet,,Periat,,,,Nuc european,,,,,,,milano
615,Frassino Naturalizzato,,parchet,CLASSIC,Tavole del Nord,False,,Milano Parquet,,Periat,,,,Frasin,,"Placi, Spina 90°, Chevron 45°, Chevron 60°",,,,,milano
616,Praga,,parchet,CLASSIC,Tavole del Nord,False,,Milano Parquet,,Periat,,,,Stejar,,,,,,,milano
617,Kiev Naturale,,parchet,CLASSIC,Tavole del Nord,False,,Milano Parquet,,Patinat,,,,Stejar,,,,,,,milano
618,Naturale,,parchet,CLASSIC,ILW Duomo,False,,Milano Parquet,,Periat,,"200, 1000/2200 mm ca.",,Stejar,,"Placi, Spina 90°",,,,,milano
619,Naturalizzato,,parchet,CLASSIC,ILW Duomo,False,,Milano Parquet,,Periat,,,,Wood,,,,,,,milano
620,Light Smoked,,parchet,CLASSIC,ILW Duomo,False,,Milano Parquet,,Periat,,,,Wood,,,,,,,milano
621,Naturale,,parchet,CLASSIC,Casale 220,False,,Milano Parquet,,Prelucrat Manual,,,,Stejar,,"Placi, Spina 90°, Chevron 45°, Chevron 60°",,,,,milano
622,Brenta,,parchet,CLASSIC,Casale 220,False,,Milano Parquet,,Prelucrat Manual,,,,Wood,,,,,,,milano
623,Frattini,,parchet,CLASSIC,Casale 220,False,,Milano Parquet,,Sablat,,,,Wood,,,,,,,milano
624,Bolivar,,parchet,CLASSIC,Casale 220,False,,Milano Parquet,,Sablat,,,,Wood,,,,,,,milano
625,Missori,,parchet,CLASSIC,Casale 220,False,,Milano Parquet,,Prelucrat Manual,,,,Wood,,,,,,,milano
626,Wagner,,parchet,CLASSIC,Casaline 190,False,,Milano Parquet,,Periat,,,,Stejar,,"Placi, Spina 90°, Chevron 45°, Chevron 60°",,,,,milano
627,Bisceglie,,parchet,CLASSIC,Casaline 190,False,,Milano Parquet,,Periat,,,,Wood,,,,,,,milano
628,Smoked,,parchet,CLASSIC,Casaline 190,False,,Milano Parquet,,Periat,,,,Wood,,,,,,,milano
629,Buonarroti,,parchet,CLASSIC,Casaline 190,False,,Milano Parquet,,Periat,,,,Wood,,,,,,,milano
630,Wagner N,,parchet,CLASSIC,Casaline 190,False,,Milano Parquet,,Periat,,,,Wood,,,,,,,milano
631,Spina 90° Rovere Naturale Fin 10x70x490,,parchet,CHEVRON & HERRINGBONE,Spine 90°,False,,Milano Parquet,,"Șlefuit Fin, Muchie Dreaptă",,"7x49x1 cm, 5.5x50x1 cm, 9x60x1.4 cm",,Stejar,,Spina 90°,,,,,milano
632,Spina 90° Rovere Naturale 10x55x500,,parchet,CHEVRON & HERRINGBONE,Spine 90°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"500 mm, 55 mm",10 mm,Wood,,,,55 mm,500 mm,,milano
633,Spina 90° Rovere Naturale 14x90x600,,parchet,CHEVRON & HERRINGBONE,Spine 90°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"600 mm, 90 mm",14 mm,Wood,,,,90 mm,600 mm,,milano
634,Spina 90° Rovere Naturale Periat 10x70x490,,parchet,CHEVRON & HERRINGBONE,Spine 90°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"7x49x1 cm, 5.5x50x1 cm, 9x60x1.4 cm",,Wood,,,,,,,milano
635,Spina 90° Rovere Naturalizzato 10x70x490,,parchet,CHEVRON & HERRINGBONE,Spine 90°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"490 mm, 70 mm",10 mm,Wood,,,,70 mm,490 mm,,milano
636,Spina 90° Rovere Naturalizzato Prima 10x55x500,,parchet,CHEVRON & HERRINGBONE,Spine 90°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"500 mm, 55 mm",10 mm,Wood,,,,55 mm,500 mm,,milano
637,Spina 90° Rovere Naturalizzato Natur 14x90x600,,parchet,CHEVRON & HERRINGBONE,Spine 90°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"600 mm, 90 mm",14 mm,Wood,,,,90 mm,600 mm,,milano
638,Spina 90° Rovere Light Smoked Prima 10x70x490,,parchet,CHEVRON & HERRINGBONE,Spine 90°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"490 mm, 70 mm",10 mm,Wood,,,,70 mm,490 mm,,milano
639,Spina 90° Rovere Light Smoked Prima 14x90x600,,parchet,CHEVRON & HERRINGBONE,Spine 90°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"9x60x1.1 cm, 9x60x1.4 cm",,Wood,,,,,,,milano
640,Spina 90° Rovere Dark Smoked 10x70x490,,parchet,CHEVRON & HERRINGBONE,Spine 90°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"490 mm, 70 mm",10 mm,Wood,,,,70 mm,490 mm,,milano
641,Spina 90° Rovere Dark Smoked Prima 10x55x500,,parchet,CHEVRON & HERRINGBONE,Spine 90°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"500 mm, 55 mm",10 mm,Wood,,,,55 mm,500 mm,,milano
642,Spina 90° Faggio 12x70x500,,parchet,CHEVRON & HERRINGBONE,Spine 90°,False,,Milano Parquet,,"Șlefuit Fin, Muchie Teșită",,"500 mm, 70 mm",12 mm,Fag,,,,70 mm,500 mm,,milano
643,Spina 90° Noce Europeo Prima 14x90x600,,parchet,CHEVRON & HERRINGBONE,Spine 90°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"600 mm, 90 mm",14 mm,Nuc,,,,90 mm,600 mm,,milano
644,Spina 90° Noce Europeo Prima 14x53x500,,parchet,CHEVRON & HERRINGBONE,Spine 90°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"500 mm, 53 mm",14 mm,Wood,,,,53 mm,500 mm,,milano
645,Chevron 45° Rovere Naturale 11x90x620,,parchet,CHEVRON & HERRINGBONE,Chevron 45°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"620 mm, 90 mm",11 mm,Stejar,,Chevron 45°,,90 mm,620 mm,,milano
646,Chevron 45° Rovere Light Smoked 11x90x620,,parchet,CHEVRON & HERRINGBONE,Chevron 45°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"620 mm, 90 mm",11 mm,Wood,,,,90 mm,620 mm,,milano
647,Chevron 45° Rovere Naturale 14x125x680,,parchet,CHEVRON & HERRINGBONE,Chevron 45°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"680 mm, 125 mm",14 mm,Wood,,,,125 mm,680 mm,,milano
648,Chevron 45° Rovere Naturalizzato 14x125x680,,parchet,CHEVRON & HERRINGBONE,Chevron 45°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"680 mm, 125 mm",14 mm,Wood,,,,125 mm,680 mm,,milano
649,Chevron 45° Rovere Dark Smoked 14x125x680,,parchet,CHEVRON & HERRINGBONE,Chevron 45°,False,,Milano Parquet,,"Periat, Muchie Teșită",,"680 mm, 125 mm",14 mm,Wood,,,,125 mm,680 mm,,milano
650,Concrete Ash — Blend,The industrial look of concrete meets the multicoloured textures of terrazzo in a decidedly contemporary compositional mix.,ceramice,CONCRETE,Blend,False,ABK,ABK,,"Natural, Honed, Antislippery R11, P.tech",,"120x120, 60x120, 90x90, 60x60, 30x60, 120x280",,Full body porcelain,,,,,,,abk
651,Concrete Grey — Blend,The industrial look of concrete meets the multicoloured textures of terrazzo in a decidedly contemporary compositional mix.,ceramice,CONCRETE,Blend,False,ABK,ABK,,"Natural, Honed, Antislippery R11, P.tech",,"120x120, 60x120, 90x90, 60x60, 30x60, 120x280",,Full body porcelain,,,,,,,abk
652,Concrete Iron — Blend,The industrial look of concrete meets the multicoloured textures of terrazzo in a decidedly contemporary compositional mix.,ceramice,CONCRETE,Blend,False,ABK,ABK,,"Natural, Honed, Antislippery R11, P.tech",,"120x120, 60x120, 90x90, 60x60, 30x60, 120x280",,Full body porcelain,,,,,,,abk
653,Concrete Moon — Blend,The industrial look of concrete meets the multicoloured textures of terrazzo in a decidedly contemporary compositional mix.,ceramice,CONCRETE,Blend,False,ABK,ABK,,"Natural, Honed, Antislippery R11, P.tech",,"120x120, 60x120, 90x90, 60x60, 30x60, 120x280",,Full body porcelain,,,,,,,abk
654,Grey — Crossroad Chalk,"In this porcelain tile collection with a minimalist design and a distinctive three-dimensional effect surface, ABK has created an extremely realistic reproduction of the grain and graphic effect of plasters in a wide range of colours and sizes. It is ideal for use in residential building and large architectural projects.",ceramice,CONCRETE,Crossroad Chalk,False,ABK,ABK,,Natural,,"120x120, 60x120, 120x280",,Porcelain slabs,,,,,,,abk
655,Sand — Crossroad Chalk,"In this porcelain tile collection with a minimalist design and a distinctive three-dimensional effect surface, ABK has created an extremely realistic reproduction of the grain and graphic effect of plasters in a wide range of colours and sizes. It is ideal for use in residential building and large architectural projects.",ceramice,CONCRETE,Crossroad Chalk,False,ABK,ABK,,Natural,,"120x120, 60x120, 120x280",,Porcelain slabs,,,,,,,abk
656,White — Crossroad Chalk,"In this porcelain tile collection with a minimalist design and a distinctive three-dimensional effect surface, ABK has created an extremely realistic reproduction of the grain and graphic effect of plasters in a wide range of colours and sizes. It is ideal for use in residential building and large architectural projects.",ceramice,CONCRETE,Crossroad Chalk,False,ABK,ABK,,Natural,,"120x120, 60x120, 120x280",,Porcelain slabs,,,,,,,abk
657,ARCHES — Sensi Fantasy,"Patterns, decorations and design are the hallmarks of Sensi Fantasy, the collection that reinvents the world of marble-effect tiles with astonishing originality. A variety of styles and inspirations are available to create surfaces with three-dimensional effects that stand out for their visual and tactile appeal.",ceramice,Marble,Sensi Fantasy,False,ABK,ABK,,Lux 3D,,"60x120, 120x280",,Full body porcelain,,,,,,,abk
658,STRIPES — Sensi Fantasy,"Patterns, decorations and design are the hallmarks of Sensi Fantasy, the collection that reinvents the world of marble-effect tiles with astonishing originality. A variety of styles and inspirations are available to create surfaces with three-dimensional effects that stand out for their visual and tactile appeal.",ceramice,Marble,Sensi Fantasy,False,ABK,ABK,,Lux 3D,,"60x120, 120x280",,Full body porcelain,,,,,,,abk
659,STRIPES — Sensi Fantasy (2),"Patterns, decorations and design are the hallmarks of Sensi Fantasy, the collection that reinvents the world of marble-effect tiles with astonishing originality. A variety of styles and inspirations are available to create surfaces with three-dimensional effects that stand out for their visual and tactile appeal.",ceramice,Marble,Sensi Fantasy,False,ABK,ABK,,Lux 3D,,"60x120, 120x280",,Full body porcelain,,,,,,,abk
660,BALI — Sensi Fantasy,"Patterns, decorations and design are the hallmarks of Sensi Fantasy, the collection that reinvents the world of marble-effect tiles with astonishing originality. A variety of styles and inspirations are available to create surfaces with three-dimensional effects that stand out for their visual and tactile appeal.",ceramice,Marble,Sensi Fantasy,False,ABK,ABK,,Lux 3D,,"60x120, 120x280",,Full body porcelain,,,,,,,abk
661,SEA GREEN — Sensi Nuance,"Elegant colour tones meet the timeless elegance of marble. This is the spirit behind the varieties selected for NUANCE, the latest collection in the SENSI project devoted to the most exclusive and luxurious materials created by nature. SENSI NUANCE comes in four different finishes. The Soft slabs are complemented by the two new versions Natural P.tech, which offers improved slip resistance, Lux 3D in which exclusive 3D Tech technology recreates the unique aesthetics of antique marble and Soft 3D.",ceramice,Marble,Sensi Nuance,False,ABK,ABK,,"Soft, P.tech, Lux 3D, Soft 3D",,"120x120, 60x120, 120x280",,Full body porcelain,,,,,,,abk
662,DEEP RIVER — Sensi Nuance,"Elegant colour tones meet the timeless elegance of marble. This is the spirit behind the varieties selected for NUANCE, the latest collection in the SENSI project devoted to the most exclusive and luxurious materials created by nature. SENSI NUANCE comes in four different finishes. The Soft slabs are complemented by the two new versions Natural P.tech, which offers improved slip resistance, Lux 3D in which exclusive 3D Tech technology recreates the unique aesthetics of antique marble and Soft 3D.",ceramice,Marble,Sensi Nuance,False,ABK,ABK,,"Soft, P.tech, Lux 3D, Soft 3D",,"120x120, 60x120, 120x280",,Full body porcelain,,,,,,,abk
663,WHITE MACAUBAS — Sensi Nuance,"Elegant colour tones meet the timeless elegance of marble. This is the spirit behind the varieties selected for NUANCE, the latest collection in the SENSI project devoted to the most exclusive and luxurious materials created by nature. SENSI NUANCE comes in four different finishes. The Soft slabs are complemented by the two new versions Natural P.tech, which offers improved slip resistance, Lux 3D in which exclusive 3D Tech technology recreates the unique aesthetics of antique marble and Soft 3D.",ceramice,Marble,Sensi Nuance,False,ABK,ABK,,"Soft, P.tech, Lux 3D, Soft 3D",,"120x120, 60x120, 120x280",,Full body porcelain,,,,,,,abk
